zone,type,variable,value
ITCS,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),93.24
ITN1,Pump Storage - Open Loop,Total pumping capacity (MW),-1706
ITN1,Pump Storage - Open Loop,Total turbining capacity (MW),2512
ITN1,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),194
ITS1,Pump Storage - Open Loop,Total pumping capacity (MW),0
ITS1,Pump Storage - Open Loop,Total turbining capacity (MW),0
ITS1,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
ITSA,Pump Storage - Open Loop,Total pumping capacity (MW),-242
ITSA,Pump Storage - Open Loop,Total turbining capacity (MW),240
ITSA,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),74.25
ITSI,Pump Storage - Open Loop,Total pumping capacity (MW),-58
ITSI,Pump Storage - Open Loop,Total turbining capacity (MW),80
ITSI,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),20.39
LT00,Pump Storage - Open Loop,Total pumping capacity (MW),0
LT00,Pump Storage - Open Loop,Total turbining capacity (MW),0
LT00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
LUG1,Pump Storage - Open Loop,Total pumping capacity (MW),0
LUG1,Pump Storage - Open Loop,Total turbining capacity (MW),0
LUG1,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
LUV1,Pump Storage - Open Loop,Total pumping capacity (MW),0
LUV1,Pump Storage - Open Loop,Total turbining capacity (MW),0
LUV1,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
LV00,Pump Storage - Open Loop,Total pumping capacity (MW),0
LV00,Pump Storage - Open Loop,Total turbining capacity (MW),0
LV00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
ME00,Pump Storage - Open Loop,Total pumping capacity (MW),0
ME00,Pump Storage - Open Loop,Total turbining capacity (MW),0
ME00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
MK00,Pump Storage - Open Loop,Total pumping capacity (MW),0
MK00,Pump Storage - Open Loop,Total turbining capacity (MW),0
MK00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
NL00,Pump Storage - Open Loop,Total pumping capacity (MW),0
NL00,Pump Storage - Open Loop,Total turbining capacity (MW),0
NL00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
NOM1,Pump Storage - Open Loop,Total pumping capacity (MW),-84
NOM1,Pump Storage - Open Loop,Total turbining capacity (MW),4631.4
NOM1,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),8602
NON1,Pump Storage - Open Loop,Total pumping capacity (MW),-1
NON1,Pump Storage - Open Loop,Total turbining capacity (MW),5540.4
NON1,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),21300.53
NOS0,Pump Storage - Open Loop,Total pumping capacity (MW),-1030
NOS0,Pump Storage - Open Loop,Total turbining capacity (MW),23605.1
NOS0,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),57070.46000000001
PL00,Pump Storage - Open Loop,Total pumping capacity (MW),-172
PL00,Pump Storage - Open Loop,Total turbining capacity (MW),178.8
PL00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),1.5
PT00,Pump Storage - Open Loop,Total pumping capacity (MW),2698
PT00,Pump Storage - Open Loop,Total turbining capacity (MW),2952
PT00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),1965.6
RO00,Pump Storage - Open Loop,Total pumping capacity (MW),-1033
RO00,Pump Storage - Open Loop,Total turbining capacity (MW),746
RO00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),92
RS00,Pump Storage - Open Loop,Total pumping capacity (MW),-560
RS00,Pump Storage - Open Loop,Total turbining capacity (MW),614
RS00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),194
SE01,Pump Storage - Open Loop,Total pumping capacity (MW),0
SE01,Pump Storage - Open Loop,Total turbining capacity (MW),0
SE01,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE02,Pump Storage - Open Loop,Total pumping capacity (MW),0
SE02,Pump Storage - Open Loop,Total turbining capacity (MW),0
SE02,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE03,Pump Storage - Open Loop,Total pumping capacity (MW),0
SE03,Pump Storage - Open Loop,Total turbining capacity (MW),0
SE03,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE04,Pump Storage - Open Loop,Total pumping capacity (MW),0
SE04,Pump Storage - Open Loop,Total turbining capacity (MW),0
SE04,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SI00,Pump Storage - Open Loop,Total pumping capacity (MW),-180
SI00,Pump Storage - Open Loop,Total turbining capacity (MW),185
SI00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),2.6
SK00,Pump Storage - Open Loop,Total pumping capacity (MW),-178.28
SK00,Pump Storage - Open Loop,Total turbining capacity (MW),276
SK00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),45.55
TR00,Pump Storage - Open Loop,Total pumping capacity (MW),0
TR00,Pump Storage - Open Loop,Total turbining capacity (MW),0
TR00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
UK00,Pump Storage - Open Loop,Total pumping capacity (MW),0
UK00,Pump Storage - Open Loop,Total turbining capacity (MW),0
UK00,Pump Storage - Open Loop,Cumulated (upper or head) reservoir capacity (GWh),0
AL00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
AL00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
AL00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
AT00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
AT00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
AT00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
BA00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
BA00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
BA00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
BE00,Pump Storage - Closed Loop,Total pumping capacity (MW),-1150
BE00,Pump Storage - Closed Loop,Total turbining capacity (MW),1308
BE00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),5.3
BG00,Pump Storage - Closed Loop,Total pumping capacity (MW),-784
BG00,Pump Storage - Closed Loop,Total turbining capacity (MW),864
BG00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),9.4
CH00,Pump Storage - Closed Loop,Total pumping capacity (MW),-3938
CH00,Pump Storage - Closed Loop,Total turbining capacity (MW),3989
CH00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),670
CZ00,Pump Storage - Closed Loop,Total pumping capacity (MW),-664
CZ00,Pump Storage - Closed Loop,Total turbining capacity (MW),688.1
CZ00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),3.7
DE00,Pump Storage - Closed Loop,Total pumping capacity (MW),-6068
DE00,Pump Storage - Closed Loop,Total turbining capacity (MW),6056
DE00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),355
ES00,Pump Storage - Closed Loop,Total pumping capacity (MW),-3142
ES00,Pump Storage - Closed Loop,Total turbining capacity (MW),3330
ES00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),95.4
FI00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
FI00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
FI00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
FR00,Pump Storage - Closed Loop,Total pumping capacity (MW),-1950
FR00,Pump Storage - Closed Loop,Total turbining capacity (MW),1950
FR00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),10
GR00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
GR00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
GR00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
HR00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
HR00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
HR00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
HU00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
HU00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
HU00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
IE00,Pump Storage - Closed Loop,Total pumping capacity (MW),-292
IE00,Pump Storage - Closed Loop,Total turbining capacity (MW),292
IE00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),1.72
ITCN,Pump Storage - Closed Loop,Total pumping capacity (MW),0
ITCN,Pump Storage - Closed Loop,Total turbining capacity (MW),0
ITCN,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
ITCS,Pump Storage - Closed Loop,Total pumping capacity (MW),-985
ITCS,Pump Storage - Closed Loop,Total turbining capacity (MW),1005
ITCS,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),3.38
ITN1,Pump Storage - Closed Loop,Total pumping capacity (MW),-2502
ITN1,Pump Storage - Closed Loop,Total turbining capacity (MW),2505
ITN1,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),17.42
ITS1,Pump Storage - Closed Loop,Total pumping capacity (MW),0
ITS1,Pump Storage - Closed Loop,Total turbining capacity (MW),0
ITS1,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
ITSA,Pump Storage - Closed Loop,Total pumping capacity (MW),0
ITSA,Pump Storage - Closed Loop,Total turbining capacity (MW),0
ITSA,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
ITSI,Pump Storage - Closed Loop,Total pumping capacity (MW),-587
ITSI,Pump Storage - Closed Loop,Total turbining capacity (MW),500
ITSI,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),1.6
LT00,Pump Storage - Closed Loop,Total pumping capacity (MW),-900
LT00,Pump Storage - Closed Loop,Total turbining capacity (MW),900
LT00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),10.59
LUG1,Pump Storage - Closed Loop,Total pumping capacity (MW),0
LUG1,Pump Storage - Closed Loop,Total turbining capacity (MW),0
LUG1,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
LUV1,Pump Storage - Closed Loop,Total pumping capacity (MW),-1026
LUV1,Pump Storage - Closed Loop,Total turbining capacity (MW),1310
LUV1,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),5
LV00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
LV00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
LV00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
ME00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
ME00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
ME00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
MK00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
MK00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
MK00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
NL00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
NL00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
NL00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
NOM1,Pump Storage - Closed Loop,Total pumping capacity (MW),0
NOM1,Pump Storage - Closed Loop,Total turbining capacity (MW),0
NOM1,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
NON1,Pump Storage - Closed Loop,Total pumping capacity (MW),0
NON1,Pump Storage - Closed Loop,Total turbining capacity (MW),0
NON1,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
NOS0,Pump Storage - Closed Loop,Total pumping capacity (MW),0
NOS0,Pump Storage - Closed Loop,Total turbining capacity (MW),0
NOS0,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
PL00,Pump Storage - Closed Loop,Total pumping capacity (MW),-1486
PL00,Pump Storage - Closed Loop,Total turbining capacity (MW),1323.1
PL00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),6.34
PT00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
PT00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
PT00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
RO00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
RO00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
RO00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
RS00,Pump Storage - Closed Loop,Total pumping capacity (MW),NA
RS00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
RS00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),NA
SE01,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SE01,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SE01,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE02,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SE02,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SE02,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE03,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SE03,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SE03,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SE04,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SE04,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SE04,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SI00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
SI00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
SI00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
SK00,Pump Storage - Closed Loop,Total pumping capacity (MW),-649.86
SK00,Pump Storage - Closed Loop,Total turbining capacity (MW),649.86
SK00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),4.1
TR00,Pump Storage - Closed Loop,Total pumping capacity (MW),0
TR00,Pump Storage - Closed Loop,Total turbining capacity (MW),0
TR00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),0
UK00,Pump Storage - Closed Loop,Total pumping capacity (MW),-2744
UK00,Pump Storage - Closed Loop,Total turbining capacity (MW),2744
UK00,Pump Storage - Closed Loop,Cumulated (upper or head) reservoir capacity (GWh),26.7
